participant,session,condition,totalAmountOfMovementP1,totalAmountOfMovementP2
8,32,integration,0.7324170186444368,1.7390973049526746
8,1,compatibility,1.0195203477727717,1.9119698066474955
8,2,compatibility,0.9484080652062356,1.5563948865548782
8,1,post,1.599717475952573,
8,2,post,1.4443128247532249,
8,3,post,1.441851338436139,
8,4,post,1.608491352297167,
8,5,post,1.4154666304724168,
8,6,post,1.4748297440329854,
8,7,post,1.4784039230101835,
8,8,post,1.4916604688952475,
8,9,post,1.4203940748284087,
8,10,post,1.520087425240634,
9,1,pre,1.4042598749078152,
9,2,pre,1.1591797409992333,
9,3,pre,1.197809266620345,
9,4,pre,1.2497880128675347,
9,5,pre,1.3041093781121398,
9,6,pre,1.218947967193885,
9,7,pre,1.1301930005147551,
9,8,pre,1.2134249862037318,
9,9,pre,1.0028585098508072,
9,10,pre,1.2558162964869952,
9,1,integration,0.9356680241443084,1.83403405065124
9,2,integration,0.9598083959479372,1.666208452565463
9,3,integration,1.0270186236261436,1.6775849837016086
9,4,integration,1.1460134876058592,1.2527635978005849
9,5,integration,1.2952005067791303,1.031998635082186
9,6,integration,1.0654364962226914,1.6441154897277483
9,7,integration,1.0503168441958546,1.6007300652596166
9,8,integration,1.3185373633384732,1.0078236565872087
9,9,integration,1.657013281296552,0.8655676483705165
9,10,integration,1.3819007586812564,1.4717692365208503
9,11,integration,1.392423194259882,1.3514963363715258
9,12,integration,1.4776902588047809,0.9029591168077364
9,13,integration,1.45328102041558,1.07459065746867
9,14,integration,1.2360446718545877,1.5222090033036495
9,15,integration,1.4795827159224124,0.9709114758393208
9,16,integration,1.5887710174993552,0.8742077943624713
9,17,integration,1.4453680049655095,0.878266516268774
9,18,integration,1.3876822405585232,1.275592105268144
9,19,integration,1.641117064049962,0.7141790565113915
9,20,integration,1.818070779142276,0.7157434321247707
9,21,integration,1.265486202668319,1.3790759195343956
9,22,integration,1.6300818206924583,0.8026345044851446
9,23,integration,1.2706393928796649,1.4065211420840025
9,24,integration,1.7688300764445015,0.662988988278467
9,25,integration,1.642699540282789,0.6315259502820929
9,26,integration,1.5032310105771554,1.3362383966661002
9,27,integration,1.359838896047559,1.2219869843760447
9,28,integration,1.408678564702818,1.1433308971817473
9,29,integration,1.7287227810737975,0.663340323561349
9,30,integration,1.6742451935861629,0.687272471745352
9,31,integration,1.7995078804777396,0.5062081842776016
9,32,integration,1.507458556325646,1.399731626262086
9,1,compatibility,1.2298276560743129,1.4413701231222755
9,2,compatibility,1.573645506392073,0.7172112902532609
9,1,post,1.2853084369101797,
9,2,post,1.2121673662079555,
9,3,post,1.187374441780897,
9,4,post,1.1238100746605637,
9,5,post,1.143590964412165,
9,6,post,1.1502744485230187,
9,7,post,1.1637507297312175,
9,8,post,1.1364023001877952,
9,9,post,1.069536619966424,
9,10,post,1.0874844194369533,
10,1,pre,1.5829616144724317,
10,2,pre,1.408837289677738,
10,3,pre,1.6311738760659975,
10,4,pre,1.1753299586026862,
10,5,pre,1.2628841002570292,
10,6,pre,1.3106552366646134,
10,7,pre,1.369186044271736,
10,8,pre,1.5377705087585705,
10,9,pre,1.1948905866594657,
10,10,pre,1.1792314773938313,
10,1,integration,1.3242258135185772,1.202878320514264
